wordId:ID,word:String,num:INT,:LABEL
0,双沟,101,SWORD
1,女生,34079,SWORD
2,中财网,12,SWORD
3,财经,1398,SWORD
4,解梦,3107,SWORD
5,总裁,23945,SWORD
6,大人,5480,SWORD
7,行行好,3,SWORD
8,传媒,1610,SWORD
9,教师节,11373,SWORD
10,全文,33112,SWORD
11,男子,6617,SWORD
12,墓碑,607,SWORD
13,黄岩岛,127,SWORD
14,海图,12,SWORD
15,甜心,3367,SWORD
16,梁朝伟,1465,SWORD
17,笑傲江湖,4682,SWORD
18,电视剧,63176,SWORD
19,任贤齐,549,SWORD
20,名字,33251,SWORD
21,女孩,15288,SWORD
22,海运,215,SWORD
23,行李,1768,SWORD
24,堪培拉,30,SWORD
25,天价,1594,SWORD
26,宝贝,12729,SWORD
27,魔棒,28,SWORD
28,表情,13052,SWORD
29,动态,6304,SWORD
30,图片,287875,SWORD
31,征文,924,SWORD
32,字,50775,SWORD
33,联通,10164,SWORD
34,营业厅,8196,SWORD
35,未婚妻,446,SWORD
36,豪门,8018,SWORD
37,重生,72190,SWORD
38,韭菜,2047,SWORD
39,炒鸡蛋,1155,SWORD
40,王者,51364,SWORD
41,荣耀,56721,SWORD
42,虎牙,3103,SWORD
43,楚河,458,SWORD
44,三国演义,2479,SWORD
45,小说,158773,SWORD
46,威县,105,SWORD
47,馍,212,SWORD
48,最新消息,9046,SWORD
49,诗句,11028,SWORD
50,祝福,4566,SWORD
51,菜谱,2033,SWORD
52,七位数,158,SWORD
53,开奖,10140,SWORD
54,结果,11544,SWORD
55,以色列,841,SWORD
56,停车场,832,SWORD
57,天龙,1855,SWORD
58,家庭,7813,SWORD
59,农场,1865,SWORD
60,星座,12266,SWORD
61,新旧,74,SWORD
62,圣经,957,SWORD
63,万能钥匙,2321,SWORD
64,威灵仙,30,SWORD
65,临泉,200,SWORD
66,长官,231,SWORD
67,早安,2387,SWORD
68,总统,5018,SWORD
69,百合,3673,SWORD
70,莲藕,856,SWORD
71,花街,92,SWORD
72,无锡,5893,SWORD
73,蚬壳,26,SWORD
74,孟州,59,SWORD
75,电信,8688,SWORD
76,电子,7158,SWORD
77,发票,2127,SWORD
78,鸡丝,51,SWORD
79,汤,8955,SWORD
80,全民,9111,SWORD
81,歌,32102,SWORD
82,炸,1880,SWORD
83,葱花,134,SWORD
84,蒜苔,159,SWORD
85,冰川,1140,SWORD
86,纸尿裤,816,SWORD
87,清蒸鱼,125,SWORD
88,重庆,18546,SWORD
89,餐馆,643,SWORD
90,发生爆炸,642,SWORD
91,手机,189078,SWORD
92,家常,5362,SWORD
93,百度,67812,SWORD
94,云,44089,SWORD
95,小舅,14,SWORD
96,太坏,294,SWORD
97,坦克,2831,SWORD
98,藕片,345,SWORD
99,投票,1217,SWORD
100,时光,4475,SWORD
101,秘密,6700,SWORD
102,中国电信,1210,SWORD
103,豪,3324,SWORD
104,月亮,5564,SWORD
105,酵母,462,SWORD
106,馒头,1517,SWORD
107,方法,37428,SWORD
108,碧瑶,1681,SWORD
109,图集,357,SWORD
110,腾讯,13551,SWORD
111,新闻,9853,SWORD
112,厦门航空,73,SWORD
113,茄子,2970,SWORD
114,身份,2807,SWORD
115,类别,314,SWORD
116,强迫症,411,SWORD
117,白袍,153,SWORD
118,法师,4613,SWORD
119,广场,12328,SWORD
120,意思,190413,SWORD
121,黄石,882,SWORD
122,东岳,104,SWORD
123,派出所,2249,SWORD
124,电话,37437,SWORD
125,松柏,202,SWORD
126,业务,2951,SWORD
127,待遇,3512,SWORD
128,家教,1758,SWORD
129,口子,666,SWORD
130,窖,214,SWORD
131,文,14226,SWORD
132,王国,4127,SWORD
133,价格表,9387,SWORD
134,专属,1468,SWORD
135,小丫头,266,SWORD
136,大件,105,SWORD
137,烟火,542,SWORD
138,作文,38440,SWORD
139,安徽,8044,SWORD
140,滁州,873,SWORD
141,石坝,31,SWORD
142,镇,8390,SWORD
143,驾校,3863,SWORD
144,骨质,179,SWORD
145,性,5533,SWORD
146,关节炎,351,SWORD
147,膝盖,2126,SWORD
148,虎皮,527,SWORD
149,尖椒,266,SWORD
150,女朋友,8346,SWORD
151,世界,84017,SWORD
152,平方根,366,SWORD
153,成龙,4131,SWORD
154,时,15699,SWORD
155,澳洲,1457,SWORD
156,费用,4921,SWORD
157,记,11723,SWORD
158,女友,10919,SWORD
159,价格,48497,SWORD
160,课堂,1827,SWORD
161,老婆,22145,SWORD
162,魔手,29,SWORD
163,梅河口,122,SWORD
164,济南,11932,SWORD
165,火车票,11504,SWORD
166,君子兰,190,SWORD
167,南洋,470,SWORD
168,邪术,166,SWORD
169,电影,95926,SWORD
170,肚,250,SWORD
171,炸油条,39,SWORD
172,配方,2875,SWORD
173,根号,1167,SWORD
174,帝王,2662,SWORD
175,词语,9730,SWORD
176,朝阳区,563,SWORD
177,庄户,11,SWORD
178,邮编,6967,SWORD
179,鲁,2702,SWORD
180,农历,3722,SWORD
181,花生米,494,SWORD
182,十字,1095,SWORD
183,含义,4537,SWORD
184,天才,4799,SWORD
185,小熊猫,418,SWORD
186,图,31294,SWORD
187,皇妃,1910,SWORD
188,广告,6245,SWORD
189,软件,51428,SWORD
190,嘴,1683,SWORD
191,新娘,4490,SWORD
192,花生,2415,SWORD
193,中国,93559,SWORD
194,证券网,21,SWORD
195,怪病,21,SWORD
196,洗洁精,261,SWORD
197,周,12380,SWORD
198,肚子,12790,SWORD
199,酱,2617,SWORD
200,作品,7554,SWORD
201,袁姗姗,876,SWORD
202,白玉,549,SWORD
203,滴滴,8268,SWORD
204,快车,1876,SWORD
205,司机,6370,SWORD
206,手抄报,9179,SWORD
207,公安局,1936,SWORD
208,哺乳期,2860,SWORD
209,月经,20589,SWORD
210,乐园,4497,SWORD
211,忐忑不安,38,SWORD
212,岳不群,48,SWORD
213,李,6483,SWORD
214,功效,40201,SWORD
215,鸽子,2116,SWORD
216,战神,5651,SWORD
217,回家,3757,SWORD
218,症状,35989,SWORD
219,首席,2651,SWORD
220,咬一口,44,SWORD
221,弩弓,43,SWORD
222,枪,2900,SWORD
223,商城,7286,SWORD
224,植物,7182,SWORD
225,基地,2749,SWORD
226,银行,19108,SWORD
227,客户端,2926,SWORD
228,英语,64213,SWORD
229,糖醋,594,SWORD
230,鲤鱼,2991,SWORD
231,表情图片,1132,SWORD
232,胎生,178,SWORD
233,鱼汤,382,SWORD
234,私人,1477,SWORD
235,口镇,88,SWORD
236,李子树,32,SWORD
237,根部,594,SWORD
238,脓包,670,SWORD
239,单手,344,SWORD
240,医学院,3098,SWORD
241,宝宝,43280,SWORD
242,小名,751,SWORD
243,洋气,385,SWORD
244,男女,5238,SWORD
245,聊天记录,2448,SWORD
246,美丽,5306,SWORD
247,世纪,4916,SWORD
248,蓝烟,82,SWORD
249,鱼,11373,SWORD
250,罐,478,SWORD
251,托运,1568,SWORD
252,规定,5311,SWORD
253,花朵,952,SWORD
254,大叔,2312,SWORD
255,财富网,174,SWORD
256,动力,1828,SWORD
257,煤,308,SWORD
258,副作用,5701,SWORD
259,红烧,2412,SWORD
260,信息网,3922,SWORD
261,立方根,111,SWORD
262,美食,5257,SWORD
263,品种,2517,SWORD
264,君,3770,SWORD
265,鸡蛋,8858,SWORD
266,农家乐,463,SWORD
267,吉,893,SWORD
268,拉拉,919,SWORD
269,歌词,40606,SWORD
270,倾城,57649,SWORD
271,少奶奶,235,SWORD
272,心尖,718,SWORD
273,广州,21597,SWORD
274,烤箱,1662,SWORD
275,世情,93,SWORD
276,人情,142,SWORD
277,晓,418,SWORD
278,风干,93,SWORD
279,泪痕,78,SWORD
280,厦门,8165,SWORD
281,酒店用品,84,SWORD
282,批发市场,2818,SWORD
283,原谅,617,SWORD
284,无情,1138,SWORD
285,处女座,3069,SWORD
286,代表,6941,SWORD
287,鸡胸肉,201,SWORD
288,排水管,135,SWORD
289,规格,1022,SWORD
290,大王,1862,SWORD
291,椰,58,SWORD
292,性格,4782,SWORD
293,文静,255,SWORD
294,牛奶,5255,SWORD
295,奶粉,6537,SWORD
296,化蝶,69,SWORD
297,芳草,186,SWORD
298,学会,1283,SWORD
299,斗鱼,5340,SWORD
300,禹州,230,SWORD
301,城市,12961,SWORD
302,电影院,2607,SWORD
303,棕树,10,SWORD
304,王,17174,SWORD
305,问,3403,SWORD
306,翅,452,SWORD
307,全脂奶粉,40,SWORD
308,比例,2877,SWORD
309,牛肉,3508,SWORD
310,猴,2512,SWORD
311,婚姻,2810,SWORD
312,爱情,23662,SWORD
313,公寓,7182,SWORD
314,笑话,3595,SWORD
315,太岁,1562,SWORD
316,牌子,19720,SWORD
317,铁人,68,SWORD
318,面粉,1297,SWORD
319,蛋白质,1406,SWORD
320,含量,994,SWORD
321,样子,2390,SWORD
322,糖浆,594,SWORD
323,沙枣,32,SWORD
324,轮胎,3492,SWORD
325,气压,294,SWORD
326,月饼,13085,SWORD
327,糯米粉,191,SWORD
328,永远都是,22,SWORD
329,生肖,11575,SWORD
330,人,93743,SWORD
331,冒险,2119,SWORD
332,自欺欺人,27,SWORD
333,联系,1924,SWORD
334,小时,6549,SWORD
335,电,5941,SWORD
336,卡农,400,SWORD
337,故事,24804,SWORD
338,花开,1933,SWORD
339,首歌,2617,SWORD
340,婚礼,3920,SWORD
341,人生,13468,SWORD
342,秋风,888,SWORD
343,耳朵,6376,SWORD
344,图图,390,SWORD
345,空间,20835,SWORD
346,视频,155856,SWORD
347,林肯,980,SWORD
348,男生,23664,SWORD
349,特点,4392,SWORD
350,感情,2185,SWORD
351,有恃无恐,46,SWORD
352,紫罗兰,285,SWORD
353,龟头,2455,SWORD
354,小红点,723,SWORD
355,儿,2724,SWORD
356,烤鸡肉,4,SWORD
357,香菇,1522,SWORD
358,黄油,599,SWORD
359,阿里巴巴,2322,SWORD
360,批发网,669,SWORD
361,和面机,44,SWORD
362,绿茶,1507,SWORD
363,意大利,1982,SWORD
364,人生路,167,SWORD
365,全家,1085,SWORD
366,牛至,5,SWORD
367,鸡块,204,SWORD
368,电池,5020,SWORD
369,南瓜,3186,SWORD
370,馅,1401,SWORD
371,饺子,2217,SWORD
372,蝴蝶,2570,SWORD
373,兰花,729,SWORD
374,语,2969,SWORD
375,心寒,79,SWORD
376,太多,790,SWORD
377,拖拉机,826,SWORD
378,皮,3234,SWORD
379,人民币,10212,SWORD
380,福,1306,SWORD
381,瑞斯,244,SWORD
382,雅格,37,SWORD
383,吉凶,685,SWORD
384,面包,2501,SWORD
385,糠,185,SWORD
386,女人,18744,SWORD
387,烤肉,889,SWORD
